4786,Ryan O'Reilly
7910,Noah Dobson
7126,Logan Stanley
7115,Clayton Keller
5987,Rasmus Ristolainen
6445,Elvis Merzlikins
4961,Taylor Hall
5391,Rickard Rakell
4246,Jakub Voracek
6290,Barclay Goodrow
6060,Anthony Duclair
3641,Blake Wheeler
6406,Alex Nedeljkovic
4352,Pat Maroon
4762,Robin Lehner
4962,Tyler Seguin
5700,Scott Laughton
7117,Mikhail Sergachev
7904,Filip Zadina
