8476462,Dougie Hamilton,D,NJD,10551,4,2,4,31,8,13,0,2,1350,8424,4,0,2.76015625,0,0,0,0,777,14,4,6,206,98,520,0,0,2,2,1,0,0,0,58,462,2,0,0.0,0,0,0,0,0,0,0,0,8,2,345.23175000000003,1
8476462,Dougie Hamilton,D,NJD,14500,5,4,4,43,11,17,1,4,1656,11992,4,0,12.84501953125,0,0,0,0,852,23,5,9,285,153,3949,1,2,0,12,3,4,1,2,306,3568,0,0,12.5,0,0,0,0,75,9,1,3,79,55,612.837,0
8476462,Dougie Hamilton,D,NJD,17210,5,5,8,48,13,22,1,4,2049,14281,8,0,9.4612548828125,0,0,0,0,880,25,7,10,335,175,2710,0,1,4,5,2,5,0,0,393,2289,4,0,6.25,0,0,0,0,28,2,2,1,50,22,558.153875,0
8476462,Dougie Hamilton,D,NJD,21272,6,6,12,61,16,25,1,4,2574,17770,12,0,6.182656860351562,0,0,0,0,928,32,7,12,416,208,4062,1,1,4,13,3,3,0,0,525,3489,4,0,5.0,0,0,0,0,48,7,0,2,81,33,653.345625,0
8476462,Dougie Hamilton,D,NJD,25116,9,6,14,77,19,28,1,4,2919,21221,14,0,0.7728321075439453,0,0,0,0,976,34,4,15,491,235,3844,3,0,2,16,3,3,0,0,345,3451,2,0,0.0,0,0,0,0,48,2,-3,3,75,27,685.8335,0
8476918,Jimmy Vesey,L,NJD,773,0,0,0,0,1,1,0,0,0,653,0,0.0,0,0,0,0,0,120,1,0,0,20,2,773,0,0,0,0,1,1,0,0,0,653,0,0.0,0,0,0,0,0,120,1,0,0,20,2,383.08175,0
8476918,Jimmy Vesey,L,NJD,3444,0,1,0,6,4,8,0,0,0,3046,0,25.0,12.5,1,0,0,0,398,1,0,1,87,31,2671,0,1,0,6,3,7,0,0,0,2393,0,25.0,12.5,1,0,0,0,278,0,0,1,67,29,615.0898125,0
8476918,Jimmy Vesey,L,NJD,6162,0,2,0,19,7,11,0,0,49,5330,0,12.5,5.7375,1,0,1,1,783,7,0,2,152,69,2718,0,1,0,13,3,3,0,0,49,2284,0,0.0,4.175,0,0,1,1,385,6,0,1,65,38,602.0660625,0
8476918,Jimmy Vesey,L,NJD,8984,0,2,0,22,10,15,0,0,57,7434,0,12.5,0.7171875,1,0,1,1,1493,10,0,2,222,79,2822,0,0,0,3,3,4,0,0,8,2104,0,0,0.0,0,0,0,0,710,3,0,0,70,10,612.5163125,0
8476918,Jimmy Vesey,L,NJD,12256,1,3,2,25,14,20,0,0,72,10276,2,15.625,25.179296875,1,0,1,1,1908,11,-1,4,307,96,3272,1,1,2,3,4,5,0,0,15,2842,2,12.5,25.0,0,0,0,0,415,1,-1,2,85,17,658.3545937499999,0
8476918,Jimmy Vesey,L,NJD,13919,2,4,2,29,16,25,0,0,106,11561,2,24.4775,25.0896484375,1,0,1,1,2252,11,1,6,348,119,1663,1,1,0,4,2,5,0,0,34,1285,0,16.665,12.5,0,0,0,0,344,0,2,2,41,23,558.153875,0
8476918,Jimmy Vesey,L,NJD,17183,2,4,4,32,19,27,0,0,549,14004,4,12.23875,12.54482421875,1,0,1,1,2630,12,-4,6,420,115,3264,0,0,2,3,3,2,0,0,443,2443,2,0.0,0.0,0,0,0,0,378,1,-5,0,72,-4,653.345625,0
8476918,Jimmy Vesey,L,NJD,19799,2,4,4,38,22,33,0,0,771,15782,4,6.119375,1.56810302734375,1,0,1,1,3246,12,-8,6,484,119,2616,0,0,0,6,3,6,0,0,222,1778,0,0.0,0.0,0,0,0,0,616,0,-4,0,64,4,685.8335,0
8476923,Damon Severson,D,NJD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8476923,Damon Severson,D,NJD,3551,2,1,4,5,3,2,0,1,226,2959,4,0,6.25,0,0,0,0,366,5,3,3,74,34,3551,2,1,4,5,3,2,0,1,226,2959,4,0,6.25,0,0,0,0,366,5,3,3,74,34,615.0898125,0
8476923,Damon Severson,D,NJD,7413,2,1,4,11,6,6,0,1,398,6064,4,0,0.78125,0,0,0,0,951,10,0,3,150,43,3862,0,0,0,6,3,4,0,0,172,3105,0,0,0.0,0,0,0,0,585,5,-3,0,76,9,602.0660625,0
8476923,Damon Severson,D,NJD,11497,2,1,12,17,9,9,0,1,949,8833,12,0,0.09765625,0,0,0,0,1715,21,1,3,229,65,4084,0,0,8,6,3,3,0,0,551,2769,8,0,0.0,0,0,0,0,764,11,1,0,79,22,612.5163125,0
