ID,Name,Position,Team,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,fanPts,timeOnIce_W,assists_W,goals_W,pim_W,shots_W,games_W,hits_W,powerPlayGoals_W,powerPlayPoints_W,powerPlayTimeOnIce_W,evenTimeOnIce_W,penaltyMinutes_W,faceOffPct_W,shotPct_W,gameWinningGoals_W,overTimeGoals_W,shortHandedGoals_W,shortHandedPoints_W,shortHandedTimeOnIce_W,blocked_W,plusMinus_W,points_W,shifts_W,fanPts_W,upcomingDifficulty,truth
8474056,P.K. Subban,D,NJD,22265,8,1,10,36,19,29,0,0,1806,19231,10,0,1.040625,1,0,0,1,1228,27,0,9,466,140,3739,0,0,2,3,3,6,0,0,335,3223,2,0,0.0,0,0,0,0,181,1,2,0,72,14,974.6779,0
8474056,P.K. Subban,D,NJD,25541,8,1,12,38,22,29,0,0,1814,22133,12,0,0.26015625,1,0,0,1,1594,29,-3,9,537,138,3276,0,0,2,2,3,0,0,0,8,2902,2,0,0.0,0,0,0,0,366,2,-3,0,71,-2,1345.8072000000002,0
8474056,P.K. Subban,D,NJD,29860,9,1,12,44,26,33,0,0,1819,26252,12,0,0.016259765625,1,0,0,1,1789,30,-2,10,618,155,4319,1,0,0,6,4,4,0,0,5,4119,0,0,0.0,0,0,0,0,195,1,1,1,81,17,1307.2256,0
8474056,P.K. Subban,D,NJD,31030,9,2,12,45,27,36,0,0,1893,27348,12,0,50.0081298828125,1,0,0,1,1789,31,-3,11,640,164,1170,0,1,0,1,1,3,0,0,74,1096,0,0,50.0,0,0,0,0,0,1,-1,1,22,9,983.3589000000001,0
8474056,P.K. Subban,D,NJD,34477,11,2,16,57,30,37,0,0,1936,30646,16,0,6.251016235351562,1,0,0,1,1895,33,-2,13,713,189,3447,2,0,4,12,3,1,0,0,43,3298,4,0,0.0,0,0,0,0,106,2,1,2,73,25,982.8959,0
8474056,P.K. Subban,D,NJD,38568,11,2,20,62,33,39,0,0,2144,34265,20,0,0.7813770294189453,1,0,0,1,2159,35,0,13,797,202,4091,0,0,4,5,3,2,0,0,208,3619,4,0,0.0,0,0,0,0,264,2,2,0,84,13,288.3466,0
8474056,P.K. Subban,D,NJD,39836,12,2,20,64,34,40,0,0,2258,35240,20,0,0.39068851470947263,1,0,0,1,2338,37,0,14,824,211,1268,1,0,0,2,1,1,0,0,114,975,0,0,0.0,0,0,0,0,179,2,0,1,27,9,1038.5316,0
8474056,P.K. Subban,D,NJD,43936,13,2,20,70,37,44,0,0,2307,39089,20,0,0.04883606433868408,1,0,0,1,2540,41,1,15,898,231,4100,1,0,0,6,3,4,0,0,49,3849,0,0,0.0,0,0,0,0,202,4,1,1,74,20,934.7908,0
8474056,P.K. Subban,D,NJD,47536,13,2,20,73,40,46,0,0,2417,42531,20,0,0.01220901608467102,1,0,0,1,2588,45,-1,15,977,236,3600,0,0,0,3,3,2,0,0,110,3442,0,0,0.0,0,0,0,0,48,4,-2,0,79,5,613.393,0
8474056,P.K. Subban,D,NJD,49603,13,2,20,74,42,46,0,0,2417,44477,20,0,0.00610450804233551,1,0,0,1,2709,50,-4,15,1023,236,2067,0,0,0,1,2,0,0,0,0,1946,0,0,0.0,0,0,0,0,121,5,-3,0,46,0,1274.2132000000001,0
8474056,P.K. Subban,D,NJD,54113,14,3,22,78,46,48,0,0,2430,48883,22,0,12.501526127010584,1,0,0,1,2800,55,-4,17,1112,257,4510,1,1,2,4,4,2,0,0,13,4406,2,0,12.5,0,0,0,0,91,5,0,2,89,21,338.1884,0
8474056,P.K. Subban,D,NJD,55166,14,3,22,79,47,49,0,0,2446,49920,22,0,6.250763063505292,1,0,0,1,2800,57,-8,17,1133,253,1053,0,0,0,1,1,1,0,0,16,1037,0,0,0.0,0,0,0,0,0,2,-4,0,21,-4,604.0758000000001,0
8474056,P.K. Subban,D,NJD,57149,15,3,36,82,49,50,0,0,2446,51883,36,0,1.562690765876323,1,0,0,1,2820,60,-9,18,1174,262,1983,1,0,14,3,2,1,0,0,0,1963,14,0,0.0,0,0,0,0,20,3,-1,1,41,9,1325.6643000000001,0
8474056,P.K. Subban,D,NJD,60997,15,3,43,85,53,52,0,0,2463,55585,43,0,0.19533634573454037,1,0,0,1,2949,64,-8,18,1256,273,3848,0,0,7,3,4,2,0,0,17,3702,7,0,0.0,0,0,0,0,129,4,1,0,82,11,1037.3117,0
8475193,Tomas Tatar,L,NJD,705,1,0,0,2,1,0,0,0,79,626,0,50.0,0.0,0,0,0,0,0,0,1,1,18,8,705,1,0,0,2,1,0,0,0,79,626,0,50.0,0.0,0,0,0,0,0,0,1,1,18,8,1039.0754000000002,0
8475193,Tomas Tatar,L,NJD,3523,3,0,0,8,4,2,0,1,599,2924,0,25.0,0.0,0,0,0,0,0,0,0,3,81,24,2818,2,0,0,6,3,2,0,1,520,2298,0,0.0,0.0,0,0,0,0,0,0,-1,2,63,16,950.7837,0
