,ID,Name,Position,Team,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,fanPts,timeOnIce_W,assists_W,goals_W,pim_W,shots_W,games_W,hits_W,powerPlayGoals_W,powerPlayPoints_W,powerPlayTimeOnIce_W,evenTimeOnIce_W,penaltyMinutes_W,faceOffPct_W,shotPct_W,gameWinningGoals_W,overTimeGoals_W,shortHandedGoals_W,shortHandedPoints_W,shortHandedTimeOnIce_W,blocked_W,plusMinus_W,points_W,shifts_W,fanPts_W,upcomingDifficulty
451,8481524,Bowen Byram,D,COL,21139,6,5,6,35,18,27,1,1,1204,19596,6,0.0,4.4259033203125,2,0,0,0,339,15,3,11,433,167,1220,0,0,0,1,1,4,0,0,51,1159,0,0,0.0,0,0,0,0,10,0,-1,0,23,3,1516.595
452,8481618,Alex Newhook,C,COL,37551,11,11,10,79,46,27,3,5,4128,33071,10,5.097448841272209,0.2685643007804174,4,0,0,0,352,19,7,22,815,323,2852,1,0,0,8,3,1,0,1,189,2663,0,0.0,0.0,0,0,0,0,0,4,0,1,56,19,1083.0082000000002
453,8471729,Kris Russell,D,EDM,18300,4,0,4,19,20,15,0,0,3,16335,4,0.0,0.0,0,0,0,0,1962,48,6,4,381,110,624,0,0,0,1,1,0,0,0,0,613,0,0,0.0,0,0,0,0,11,2,-1,0,16,1,679.7382
454,8475178,Zack Kassian,R,EDM,27002,9,5,38,41,35,95,2,2,978,25995,38,15.625,1.5639750480651855,1,0,0,0,29,3,-2,14,560,231,1195,0,0,0,3,2,8,0,0,46,1149,0,0,0.0,0,0,0,0,0,0,-1,0,25,9,1099.6144
455,8476454,Ryan Nugent-Hopkins,C,EDM,53505,30,7,10,117,45,32,0,16,9877,38407,10,38.80366503168963,0.8791663624346256,1,0,1,3,5221,22,4,37,938,393,1227,0,0,2,5,2,2,0,0,17,1102,2,28.0275,0.0,0,0,0,0,108,1,-3,0,24,2,994.5182
456,8479344,Jesse Puljujarvi,R,EDM,46006,16,12,18,117,46,46,4,7,5199,40787,18,0.0,17.900203666718788,1,0,0,0,20,10,8,28,880,381,2288,1,1,2,8,3,0,0,0,392,1896,2,0,16.65,0,0,0,0,0,0,2,2,45,22,1769.3730999999998
457,8470281,Duncan Keith,D,EDM,46007,13,1,12,54,38,20,0,0,520,41082,12,0.0,4.76837158203125e-05,1,0,0,0,4405,64,6,14,888,218,3245,0,0,2,2,3,0,0,0,118,2945,2,0,0.0,0,0,0,0,182,3,3,0,72,11,1111.5844000000002
458,8474068,Kyle Turris,C,EDM,11898,3,1,4,21,23,13,0,0,591,11307,4,29.459674072265624,0.048828125,0,0,0,0,0,6,-5,4,257,48,281,0,0,0,0,1,0,0,0,0,281,0,0.0,0,0,0,0,0,0,0,0,0,6,0,1111.5844000000002
459,8474089,Brad Malone,C,EDM,1122,0,0,0,0,2,8,0,0,5,1064,0,50.0,0.0,0,0,0,0,53,0,-2,0,31,4,1122,0,0,0,0,2,8,0,0,5,1064,0,50.0,0,0,0,0,0,53,0,-2,0,31,4,1111.5844000000002
460,8474098,Colton Sceviour,C,EDM,19186,3,2,26,37,33,40,0,0,17,15914,26,25.3630810546875,0.126953125,0,0,0,1,3255,19,-7,5,430,106,167,0,0,0,0,1,0,0,0,0,167,0,0,0,0,0,0,0,0,0,-2,0,4,-4,1111.5844000000002
461,8475169,Evander Kane,L,EDM,19869,6,8,18,52,17,53,2,3,2950,16667,18,59.375,19.02031555175781,0,0,0,0,252,5,9,14,359,222,3903,1,3,2,13,3,10,0,0,1061,2810,2,50.0,15.5,0,0,0,0,32,0,2,4,67,49,1111.5844000000002
462,8475197,Tyson Barrie,D,EDM,55971,20,3,18,95,49,19,2,13,8105,47522,18,0.0,7.483322406187654e-07,0,0,0,0,344,45,-5,23,1024,289,1424,1,0,0,1,2,0,0,1,260,1164,0,0,0.0,0,0,0,0,0,1,-1,1,29,6,1111.5844000000002
463,8475786,Zach Hyman,L,EDM,58860,18,19,26,137,50,56,4,6,7509,45715,26,15.654325148556381,1.5070201635589597,2,0,1,3,5636,18,-3,37,1107,465,4323,2,0,2,14,3,2,0,0,1027,3123,2,0,0.0,0,0,0,0,173,3,1,2,73,29,1111.5844000000002
464,8476879,Cody Ceci,D,EDM,64434,13,2,8,70,52,79,0,0,47,56860,8,0.0,0.7812500116415322,0,0,0,0,7527,68,2,15,1217,285,3575,0,0,0,2,3,4,0,0,0,3046,0,0,0.0,0,0,0,0,529,7,1,0,65,15,1111.5844000000002
465,8476913,Devin Shore,C,EDM,19194,4,2,6,19,35,51,0,0,9,16728,6,26.577677166238427,0.439453125,0,0,0,0,2457,17,-7,6,448,101,1723,0,0,0,1,3,5,0,0,3,1630,0,16.665,0.0,0,0,0,0,90,1,-2,0,45,3,1111.5844000000002
466,8477498,Darnell Nurse,D,EDM,77159,17,6,36,162,49,154,0,6,4651,64526,36,0.0,0.0782880399376154,0,0,1,1,7982,88,7,23,1322,544,4673,2,0,0,5,3,3,0,1,810,3324,0,0,0.0,0,0,0,0,539,6,-1,2,76,22,1111.5844000000002
467,8477934,Leon Draisaitl,C,EDM,76912,41,38,36,186,56,36,17,31,13232,60660,36,49.66457415408587,18.293215168374868,10,1,1,1,3020,14,15,79,1269,966,4354,3,2,2,8,3,0,2,2,1114,3003,2,45.15,15.0,1,0,0,0,237,0,3,5,82,68,1111.5844000000002
468,8477998,Warren Foegele,L,EDM,44875,13,7,16,103,56,88,2,2,1913,42214,16,67.28947937011719,0.12207128108826737,2,0,0,0,748,12,-14,20,957,309,2517,0,0,2,3,3,8,0,0,229,2288,2,0,0.0,0,0,0,0,0,0,-1,0,57,9,1111.5844000000002
469,8478021,William Lagesson,D,EDM,21002,4,0,11,29,28,38,0,0,34,19252,11,0.0,0.0,0,0,0,0,1716,16,3,4,457,105,2538,0,0,0,5,3,6,0,0,0,2341,0,0,0.0,0,0,0,0,197,1,-1,0,53,10,1111.5844000000002
470,8478402,Connor McDavid,C,EDM,74037,50,29,35,215,55,53,7,31,12609,61088,35,69.75257248697909,2.534995731000265,3,1,0,0,340,20,13,79,1187,836,4395,3,1,0,11,3,3,0,2,1077,3306,0,61.834999999999994,1.7875,0,0,0,0,12,2,2,4,71,42,1111.5844000000002
471,8478585,Derek Ryan,C,EDM,35983,6,8,6,51,52,26,0,0,206,29720,6,58.19377202593405,5.676396653801203,2,0,0,0,6057,22,-8,14,876,175,2478,0,0,0,5,3,5,0,0,30,2190,0,50.83375,0.0,0,0,0,0,258,2,-3,0,66,6,1111.5844000000002
472,8479338,Markus Niemelainen,D,EDM,15194,1,0,4,12,19,81,0,0,3,13517,4,0.0,0.0,0,0,0,0,1674,19,-4,1,329,108,1690,0,0,0,2,3,4,0,0,0,1624,0,0,0.0,0,0,0,0,66,4,-2,0,41,6,1111.5844000000002
473,8479347,Tyler Benson,L,EDM,14460,1,1,6,18,28,44,0,0,264,14196,6,0.0,12.5,0,0,0,0,0,3,-5,2,318,65,1054,0,0,0,0,2,4,0,0,144,910,0,0,0,0,0,0,0,0,0,0,0,22,4,1111.5844000000002
474,8479977,Kailer Yamamoto,R,EDM,54936,9,11,30,76,55,69,0,1,1445,49876,30,75.0,6.705520237027668,4,0,1,1,3615,22,-8,20,1069,305,3339,0,1,2,6,3,3,0,0,196,2889,2,0,6.25,0,0,0,0,254,2,0,1,68,17,1111.5844000000002
475,8480802,Ryan McLeod,C,EDM,33933,7,6,10,49,45,14,0,1,1718,30403,10,49.578167692405685,25.003085377812386,0,0,0,0,1812,15,-2,13,746,140,3225,0,1,2,5,3,0,0,0,266,2659,2,44.43125,25.0,0,0,0,0,300,1,-1,1,75,10,1111.5844000000002
476,8480803,Evan Bouchard,D,EDM,67848,20,9,20,129,56,53,2,5,4466,56609,20,0.0,0.005115204116128069,0,0,0,1,6773,74,1,29,1253,418,2652,2,0,0,7,3,1,0,0,339,2312,0,0,0.0,0,0,0,0,1,4,3,2,56,26,1111.5844000000002
477,8481598,Philip Broberg,D,EDM,13855,1,0,6,19,18,6,0,0,215,13076,6,0.0,0.0,0,0,0,0,564,8,-7,1,308,23,863,0,0,0,4,1,0,0,0,15,807,0,0,0.0,0,0,0,0,41,0,0,0,18,4,1111.5844000000002
478,8477335,Kyle Burroughs,D,VAN,27787,4,1,33,33,36,97,0,0,43,26537,33,0.0,0.01220703125,0,0,0,0,1207,47,-5,5,647,189,805,2,0,2,0,2,4,0,0,0,805,2,0,0,0,0,0,0,0,3,2,2,20,19,660.9827
479,8477359,Tucker Poolman,D,VAN,40538,2,1,12,47,39,31,0,0,202,36491,12,0.0,0.000762939453125,0,0,0,0,3845,73,3,3,880,171,1689,0,0,0,2,2,0,0,0,0,1612,0,0,0.0,0,0,0,0,77,4,1,0,35,8,1037.7087000000001
480,8474568,Luke Schenn,D,VAN,42210,8,3,34,46,41,172,0,0,185,37459,34,0.0,0.5853754043579101,1,0,0,0,4566,64,9,11,1009,360,3041,0,0,4,5,3,8,0,0,3,2980,4,0,0.0,0,0,0,0,58,6,-5,0,73,9,945.8606
481,8474574,Tyler Myers,D,VAN,76193,13,1,48,92,57,108,0,1,1474,66150,48,0.0,6.25,0,0,0,0,8569,120,14,14,1561,408,3778,1,0,0,4,3,5,0,0,0,3534,0,0,0.0,0,0,0,0,244,7,1,1,79,22,945.8606
482,8474612,Travis Hamonic,D,VAN,19841,3,2,4,39,18,23,0,0,54,17795,4,0.0,12.890625,0,0,0,0,1992,43,2,5,402,133,3367,2,1,0,10,3,4,0,0,0,3193,0,0,12.5,0,0,0,0,174,4,3,3,74,38,945.8606
483,8475163,Alex Chiasson,R,VAN,28524,5,6,18,57,44,45,4,6,5569,22955,18,37.5,10.797606002166868,1,0,0,0,0,11,-1,11,667,221,2423,0,1,0,8,3,4,0,0,123,2300,0,0,10.0,1,0,0,0,0,1,1,1,56,31,945.8606
484,8475171,Oliver Ekman-Larsson,D,VAN,72810,13,4,36,122,54,75,2,6,6372,59756,36,0.0,0.08129883976670982,0,0,0,0,6682,53,1,17,1506,356,3765,1,0,0,2,3,6,0,0,127,3545,0,0,0.0,0,0,0,0,93,3,1,1,78,17,945.8606
485,8476468,J.T. Miller,C,VAN,68773,41,22,37,133,55,123,6,27,11371,50642,37,53.165977533960344,61.10982159699151,5,3,0,1,6760,38,6,63,1433,754,3396,2,2,0,7,3,3,0,1,369,2855,0,46.8675,56.25,0,0,0,0,172,1,-1,4,71,31,945.8606
486,8476779,Brad Hunt,D,VAN,23689,8,1,8,33,26,13,0,1,2023,21589,8,0.0,16.65,0,0,0,0,77,28,-2,9,562,110,3033,2,1,0,6,3,3,0,0,148,2885,0,0,16.65,0,0,0,0,0,2,3,3,68,31,945.8606
487,8476871,Tanner Pearson,L,VAN,51227,15,12,30,131,53,62,1,3,5882,43497,30,46.876389789581296,33.91241505455539,1,0,0,0,1848,34,4,27,1198,391,2766,1,2,0,5,3,3,0,0,123,2643,0,43.75,31.25,0,0,0,0,0,0,-1,3,61,22,945.8606
488,8477353,Tyler Motte,C,VAN,35603,7,7,16,76,42,73,0,0,394,30237,16,39.0625,25.522992374305613,1,0,1,1,4972,46,5,14,843,295,2743,0,1,0,9,3,9,0,0,3,2525,0,0,25.0,0,0,0,0,215,4,0,1,61,28,945.8606
489,8477450,Jason Dickinson,C,VAN,38248,3,3,17,53,49,89,0,0,328,33503,17,40.4141146050593,0.052893078047782184,0,0,0,0,4417,35,-4,6,955,199,1056,0,0,0,1,2,3,0,0,0,980,0,0,0.0,0,0,0,0,76,0,0,0,22,4,1032.5712
490,8477474,Madison Bowey,D,VAN,1888,0,0,0,0,2,4,0,0,0,1613,0,0.0,0.0,0,0,0,0,275,2,-3,0,46,0,1888,0,0,0,0,2,4,0,0,0,1613,0,0,0,0,0,0,0,275,2,-3,0,46,0,1344.2540999999999
